"CODICE_REGIONE","CODICE_PROVINCIA","SIGLA_AUTOMOBILISTICA","ID_COMUNE","CODICE_COMUNE","LABEL_COMUNE_IT","LABEL_COMUNE_DE","DATA_INIZIO_VALIDITA","DATA_FINE_VALIDITA"
"00","004","CN","004018-(1861-03-17)","004018","BELVEDERE","","17-03-1861","11-01-1863"
"00","004","CN","004018-(1863-01-11)","004018","BELVEDERE LANGHE","","11-01-1863","01-01-1948"
"01","004","CN","004018-(1948-01-01)","004018","BELVEDERE LANGHE","","01-01-1948","31-12-9999"
"00","004","CN","004019-(1861-03-17)","004019","BENE","","17-03-1861","11-01-1863"
"00","004","CN","004019-(1863-01-11)","004019","BENE VAGIENNA","","11-01-1863","03-03-1928"
"00","004","CN","004019-(1928-03-03)","004019","BENE VAGIENNA","","03-03-1928","23-05-1947"
"00","004","CN","004019-(1947-05-23)","004019","BENE VAGIENNA","","23-05-1947","01-01-1948"
"01","004","CN","004019-(1948-01-01)","004019","BENE VAGIENNA","","01-01-1948","31-12-9999"
"00","004","CN","004020-(1861-03-17)","004020","BENEVELLO","","17-03-1861","01-01-1948"
"01","004","CN","004020-(1948-01-01)","004020","BENEVELLO","","01-01-1948","31-12-9999"
"00","004","CN","004021-(1861-03-17)","004021","BERGOLO","","17-03-1861","28-06-1928"
"00","004","CN","004021-(1928-06-28)","004021","BERGOLO","","28-06-1928","28-06-1928"
"00","004","CN","004022-(1861-03-17)","004022","BERNEZZO","","17-03-1861","01-01-1948"
"01","004","CN","004022-(1948-01-01)","004022","BERNEZZO","","01-01-1948","31-12-9999"
"00","004","CN","004023-(1861-03-17)","004023","BONVICINO","","17-03-1861","01-04-1884"
"00","004","CN","004023-(1884-04-01)","004023","BONVICINO","","01-04-1884","04-08-1887"
"00","004","CN","004023-(1887-08-04)","004023","BONVICINO","","04-08-1887","01-01-1948"
"01","004","CN","004023-(1948-01-01)","004023","BONVICINO","","01-01-1948","31-12-9999"
"00","004","CN","004024-(1861-03-17)","004024","BORGOMALE","","17-03-1861","01-01-1948"
"01","004","CN","004024-(1948-01-01)","004024","BORGOMALE","","01-01-1948","31-12-9999"
"00","004","CN","004025-(1861-03-17)","004025","BORGO SAN DALMAZZO","","17-03-1861","01-01-1948"
"01","004","CN","004025-(1948-01-01)","004025","BORGO SAN DALMAZZO","","01-01-1948","31-12-9999"
"00","004","CN","004026-(1861-03-17)","004026","BOSIA","","17-03-1861","15-04-1928"
"00","004","CN","004026-(1928-04-15)","004026","BOSIA","","15-04-1928","15-04-1928"
"00","004","CN","004027-(1861-03-17)","004027","BOSSOLASCO","","17-03-1861","01-01-1948"
"01","004","CN","004027-(1948-01-01)","004027","BOSSOLASCO","","01-01-1948","31-12-9999"
"00","004","CN","004028-(1861-03-17)","004028","BOVES","","17-03-1861","01-01-1948"
"01","004","CN","004028-(1948-01-01)","004028","BOVES","","01-01-1948","31-12-9999"
"00","004","CN","004029-(1861-03-17)","004029","BRA","","17-03-1861","27-06-1928"
"00","004","CN","004029-(1928-06-27)","004029","BRA","","27-06-1928","23-05-1940"
"00","004","CN","004029-(1928-06-27)","004029","BRA","","27-06-1928","23-05-1940"
"00","004","CN","004029-(1940-05-23)","004029","BRA","","23-05-1940","26-04-1946"
"00","004","CN","004029-(1946-04-26)","004029","BRA","","26-04-1946","29-10-1947"
"00","004","CN","004029-(1947-10-29)","004029","BRA","","29-10-1947","01-01-1948"
"01","004","CN","004029-(1948-01-01)","004029","BRA","","01-01-1948","31-12-9999"
"00","004","CN","004030-(1861-03-17)","004030","BRIAGLIA","","17-03-1861","01-01-1948"
"01","004","CN","004030-(1948-01-01)","004030","BRIAGLIA","","01-01-1948","31-12-9999"
"00","004","CN","004032-(1861-03-17)","004032","BRONDELLO","","17-03-1861","03-05-1928"
"00","004","CN","004032-(1928-05-03)","004032","BRONDELLO","","03-05-1928","03-05-1928"
"00","004","CN","004033-(1861-03-17)","004033","BROSSASCO","","17-03-1861","01-01-1948"
"01","004","CN","004033-(1948-01-01)","004033","BROSSASCO","","01-01-1948","31-12-9999"
"00","004","CN","004034-(1861-03-17)","004034","BUSCA","","17-03-1861","01-01-1948"
"01","004","CN","004034-(1948-01-01)","004034","BUSCA","","01-01-1948","01-01-2019"
"01","004","CN","004034-(2019-01-01)","004034","BUSCA","","01-01-2019","31-12-9999"
